grid_size,F,q,run_id,steps_to_convergence,unique_cultures,largest_domain_size,largest_domain_percentage,avg_cultural_distance
10,5,15,14,19821,34,22,22.0,0.55
10,5,15,15,52132,7,94,94.0,0.08888888888888889
10,5,15,16,60674,15,85,85.0,0.2111111111111111
10,5,15,17,32442,16,61,61.0,0.31666666666666665
10,5,15,18,102888,6,82,82.0,0.15
10,5,15,19,57558,6,94,94.0,0.08888888888888889
10,5,15,20,51237,11,90,90.0,0.12222222222222222
10,5,15,21,43559,12,86,86.0,0.2111111111111111
10,5,15,22,79940,6,86,86.0,0.1388888888888889
10,5,15,23,51552,8,91,91.0,0.1388888888888889
10,5,15,24,34763,11,90,90.0,0.13333333333333333
10,5,15,25,57193,7,93,93.0,0.10555555555555556
10,5,15,26,57254,7,93,93.0,0.12777777777777777
10,5,15,27,47255,7,91,91.0,0.12222222222222222
10,5,15,28,63940,12,85,85.0,0.19444444444444445
10,5,15,29,50295,9,85,85.0,0.14444444444444443
10,5,15,30,41240,7,84,84.0,0.14444444444444443
10,5,15,31,41992,5,89,89.0,0.1
10,5,15,32,56079,7,94,94.0,0.07777777777777778
10,5,15,33,46592,10,61,61.0,0.2388888888888889
10,5,15,34,55169,5,89,89.0,0.1
10,5,15,35,60523,6,93,93.0,0.08888888888888889
10,5,15,36,43611,11,72,72.0,0.23333333333333334
10,5,15,37,55596,16,71,71.0,0.25
10,5,15,38,31636,28,29,28.999999999999996,0.4777777777777778
10,5,15,39,75788,6,95,95.0,0.07777777777777778
10,5,15,40,60013,9,86,86.0,0.1388888888888889
10,5,15,41,33637,6,92,92.0,0.1
10,5,15,42,35381,12,72,72.0,0.20555555555555555
10,5,15,43,33852,19,78,78.0,0.29444444444444445
10,5,15,44,36346,13,66,66.0,0.25
10,5,15,45,64153,4,97,97.0,0.05555555555555555
10,5,15,46,39550,9,90,90.0,0.12777777777777777
10,5,15,47,34886,8,92,92.0,0.1111111111111111
10,5,15,48,63259,8,91,91.0,0.12222222222222222
10,5,15,49,76458,12,83,83.0,0.20555555555555555
10,5,15,50,71946,3,98,98.0,0.03333333333333333
10,5,15,51,62650,15,83,83.0,0.2
10,5,15,52,40224,5,95,95.0,0.07222222222222222
10,5,15,53,90484,2,99,99.0,0.022222222222222223
10,5,15,54,51668,3,97,97.0,0.044444444444444446
10,5,15,55,103466,5,95,95.0,0.06666666666666667
10,5,15,56,35190,12,83,83.0,0.20555555555555555
10,5,15,57,58950,8,83,83.0,0.12777777777777777
10,5,15,58,66063,6,95,95.0,0.07222222222222222
10,5,15,59,72000,16,78,78.0,0.2611111111111111
10,5,15,60,56648,4,96,96.0,0.05
10,5,15,61,36857,11,54,54.0,0.23333333333333334
10,5,15,62,52971,11,87,87.0,0.2
10,5,15,63,77848,8,59,59.0,0.25
10,5,15,64,59565,11,77,77.0,0.20555555555555555
10,5,15,65,58433,18,57,56.99999999999999,0.36666666666666664
10,5,15,66,79630,12,80,80.0,0.19444444444444445
10,5,15,67,34590,10,88,88.0,0.16666666666666666
10,5,15,68,79231,6,95,95.0,0.08888888888888889
10,5,15,69,53973,16,75,75.0,0.2611111111111111
10,5,15,70,38056,10,62,62.0,0.18888888888888888
10,5,15,71,67870,12,86,86.0,0.2
