grid_size,total_nodes,F,q,num_runs,steps_mean,steps_std,steps_min,steps_max,unique_cultures_mean,unique_cultures_std,unique_cultures_min,unique_cultures_max,largest_domain_mean,largest_domain_std,avg_distance_mean,avg_distance_std,prob_global_consensus
4,16,5,8,500,1019.89,373.2840338133952,242,2586,2.396,1.3278493890498273,1,8,82.075,18.20733025459801,0.18083333333333332,0.15641602290757242,0.29
6,36,5,8,500,6107.394,1923.1747488889303,2590,13704,1.774,1.0113970535847927,1,6,94.57777777777778,9.823164861755837,0.049100000000000005,0.06612085735815725,0.504
8,64,5,8,500,21062.766,6393.610376246273,8726,51405,1.468,0.7778020313678796,1,6,98.096875,4.525987245549307,0.017464285714285717,0.032001255555725576,0.664
10,100,5,8,500,52352.164,17158.758501975135,22906,126004,1.228,0.48581477951993185,1,4,99.484,1.5276596479582747,0.005244444444444444,0.012009337930579862,0.8
12,144,5,8,500,110433.454,35600.015524770264,50312,248768,1.192,0.5245340789691363,1,6,99.69166666666668,1.1823646269705093,0.0030530303030303027,0.0091885257777719,0.846
14,196,5,8,500,210696.752,65712.04453305723,74535,472160,1.118,0.363422618998873,1,3,99.89693877551021,0.3862740242680569,0.0012912087912087913,0.0042034762584646996,0.896
16,256,5,8,500,371900.208,119838.28359250116,140540,902436,1.088,0.3037367281051141,1,3,99.94296875,0.2460267766010186,0.0006291666666666667,0.0022310116975140324,0.918
18,324,5,8,500,602754.504,193842.1720782709,245870,1353994,1.082,0.29542511741556443,1,3,99.95432098765433,0.2142997941390131,0.0005032679738562092,0.0019697073655276826,0.924
20,400,5,8,500,929666.302,296407.8956683691,320992,2000000,1.062,0.24931105069771772,1,3,99.8695,2.2170012967970956,0.00034263157894736827,0.0017510344390240286,0.94
