correlation,grid_size,run_id,steps_to_convergence,unique_cultures,largest_domain_size,largest_domain_percentage,avg_cultural_distance
-0.75,10,48,39385,3,98,98.0,0.03888888888888889
-0.75,10,49,18794,3,98,98.0,0.027777777777777776
-0.5,10,0,41417,3,94,94.0,0.05555555555555555
-0.5,10,1,22842,5,62,62.0,0.17777777777777778
-0.5,10,2,34978,4,97,97.0,0.044444444444444446
-0.5,10,3,36469,4,95,95.0,0.06111111111111111
-0.5,10,4,19637,6,92,92.0,0.1111111111111111
-0.5,10,5,29354,2,99,99.0,0.022222222222222223
-0.5,10,6,18221,1,100,100.0,0.0
-0.5,10,7,24199,3,97,97.0,0.044444444444444446
-0.5,10,8,14138,4,90,90.0,0.07222222222222222
-0.5,10,9,50190,2,99,99.0,0.022222222222222223
-0.5,10,10,18458,3,98,98.0,0.03333333333333333
-0.5,10,11,37591,2,98,98.0,0.022222222222222223
-0.5,10,12,34999,3,97,97.0,0.03888888888888889
-0.5,10,13,22952,4,91,91.0,0.07222222222222222
-0.5,10,14,40883,4,96,96.0,0.05555555555555555
-0.5,10,15,66475,7,90,90.0,0.14444444444444443
-0.5,10,16,23547,3,98,98.0,0.044444444444444446
-0.5,10,17,19960,2,99,99.0,0.022222222222222223
-0.5,10,18,28039,3,98,98.0,0.03888888888888889
-0.5,10,19,49674,2,94,94.0,0.027777777777777776
-0.5,10,20,13339,3,98,98.0,0.03333333333333333
-0.5,10,21,9742,2,99,99.0,0.016666666666666666
-0.5,10,22,26739,3,97,97.0,0.05
-0.5,10,23,32519,2,99,99.0,0.022222222222222223
-0.5,10,24,19877,2,98,98.0,0.03333333333333333
-0.5,10,25,27609,1,100,100.0,0.0
-0.5,10,26,16699,2,99,99.0,0.022222222222222223
-0.5,10,27,24292,2,99,99.0,0.022222222222222223
-0.5,10,28,26774,2,99,99.0,0.016666666666666666
-0.5,10,29,22181,1,100,100.0,0.0
-0.5,10,30,48002,1,100,100.0,0.0
-0.5,10,31,23502,2,98,98.0,0.03333333333333333
-0.5,10,32,39969,2,97,97.0,0.022222222222222223
-0.5,10,33,15160,5,92,92.0,0.1111111111111111
-0.5,10,34,38850,3,96,96.0,0.06666666666666667
-0.5,10,35,37028,1,100,100.0,0.0
-0.5,10,36,24765,2,99,99.0,0.016666666666666666
-0.5,10,37,13326,3,90,90.0,0.08333333333333333
-0.5,10,38,45538,3,91,91.0,0.044444444444444446
-0.5,10,39,36604,3,97,97.0,0.044444444444444446
-0.5,10,40,45873,4,93,93.0,0.07777777777777778
-0.5,10,41,14358,2,99,99.0,0.016666666666666666
-0.5,10,42,26588,1,100,100.0,0.0
-0.5,10,43,39257,3,98,98.0,0.03888888888888889
-0.5,10,44,10637,2,99,99.0,0.016666666666666666
-0.5,10,45,30052,3,93,93.0,0.06666666666666667
-0.5,10,46,83545,4,97,97.0,0.05555555555555555
-0.5,10,47,30400,2,99,99.0,0.016666666666666666
-0.5,10,48,44685,2,99,99.0,0.022222222222222223
-0.5,10,49,49212,3,97,97.0,0.05555555555555555
-0.25,10,0,27034,2,99,99.0,0.022222222222222223
-0.25,10,1,39212,2,99,99.0,0.016666666666666666
-0.25,10,2,17310,3,98,98.0,0.044444444444444446
-0.25,10,3,24247,1,100,100.0,0.0
-0.25,10,4,14340,5,88,88.0,0.09444444444444444
-0.25,10,5,29923,1,100,100.0,0.0
-0.25,10,6,36439,2,99,99.0,0.022222222222222223
-0.25,10,7,30262,2,99,99.0,0.022222222222222223
-0.25,10,8,33183,1,100,100.0,0.0
-0.25,10,9,18809,2,99,99.0,0.022222222222222223
-0.25,10,10,26801,2,99,99.0,0.016666666666666666
-0.25,10,11,19021,2,99,99.0,0.022222222222222223
-0.25,10,12,52512,1,100,100.0,0.0
-0.25,10,13,62226,5,92,92.0,0.12777777777777777
