correlation,num_runs,steps_mean,steps_std,steps_min,steps_max,unique_cultures_mean,unique_cultures_std,unique_cultures_min,unique_cultures_max,largest_domain_mean,largest_domain_std,avg_distance_mean,avg_distance_std,prob_global_consensus
-1.0,200,38189.34,15054.157805882069,9578,100969,1.06,0.2374868417407584,1,2,99.93,0.3083828789021855,0.0011111111111111111,0.004874980215217845,0.94
-0.9,200,38438.81,16590.051581411673,13724,102724,1.045,0.20730412441627877,1,2,99.955,0.20730412441627882,0.0007500000000000001,0.0035432730561752207,0.955
-0.75,200,38154.56,17188.40351011111,8943,113579,1.055,0.22798026230355992,1,2,99.94,0.25768197453450253,0.0010277777777777776,0.004412296929891603,0.945
-0.6,200,38959.36,14438.768754654948,14745,83611,1.055,0.22798026230355992,1,2,99.93,0.3536947836765479,0.0010277777777777778,0.004306093156401164,0.945
-0.5,200,38492.795,16843.080894924628,13704,132950,1.08,0.2712931993250107,1,2,99.92,0.2712931993250107,0.0012777777777777776,0.004469029225930642,0.92
-0.4,200,37048.035,14082.931759536968,12536,98084,1.12,0.34,1,3,99.865,0.40838094960465526,0.0020555555555555553,0.005991506333815241,0.885
-0.25,200,37351.155,16161.648330259355,12235,101134,1.095,0.29321493822791495,1,2,99.89,0.3576310948449533,0.0016944444444444446,0.0055332189858778415,0.905
-0.1,200,40367.45,17453.570298580747,10803,127518,1.105,0.3224515467477245,1,3,99.895,0.3224515467477246,0.0016111111111111111,0.005139714648369758,0.9
0.0,200,40844.4,16986.375774131455,14487,121597,1.085,0.296268459340511,1,3,99.905,0.35492957047842605,0.0015555555555555557,0.005587684871413403,0.92
0.1,200,39230.625,17787.34767339906,13153,142498,1.105,0.3224515467477245,1,3,99.89,0.34336569426778796,0.0018611111111111111,0.005780915280600598,0.9
0.25,200,37775.515,15655.936469268614,14079,117089,1.105,0.3224515467477245,1,3,99.89,0.3433656942677879,0.0019444444444444442,0.006002828551381754,0.9
0.4,200,36930.61,13749.609619472838,11257,95018,1.13,0.33630343441600474,1,2,99.86,0.3746998799039039,0.002416666666666667,0.00639679462555126,0.87
0.5,200,37659.47,13940.070374252064,14250,91180,1.13,0.3508560958569767,1,3,99.865,0.3698310425045469,0.0023333333333333335,0.00639154534145318,0.875
0.6,200,37758.4,15313.400070199956,12283,93689,1.16,0.39293765408777,1,3,99.79,0.5881326381013046,0.0029722222222222216,0.0076351506004372965,0.85
0.75,200,39807.31,16820.66327122388,10147,109062,1.2,0.43588989435406733,1,3,99.77,0.5541660400998963,0.003666666666666667,0.008304394196024353,0.815
0.9,200,38806.37,15968.464421261677,10864,109650,1.235,0.48966825504620987,1,3,99.72,0.649307323229917,0.0045,0.009944134073368872,0.795
1.0,200,39702.17,15629.05790574403,14223,103770,1.235,0.4793485162175847,1,3,99.745,0.5384932682958999,0.004277777777777778,0.008970287029003925,0.79
