correlation,grid_size,run_id,steps_to_convergence,unique_cultures,largest_domain_size,largest_domain_percentage,avg_cultural_distance
-1.0,10,193,18742,1,100,100.0,0.0
-1.0,10,194,28500,1,100,100.0,0.0
-1.0,10,195,52644,1,100,100.0,0.0
-1.0,10,196,44319,1,100,100.0,0.0
-1.0,10,197,17598,1,100,100.0,0.0
-1.0,10,198,43385,1,100,100.0,0.0
-1.0,10,199,70641,1,100,100.0,0.0
-0.9,10,0,29839,1,100,100.0,0.0
-0.9,10,1,88604,1,100,100.0,0.0
-0.9,10,2,66190,1,100,100.0,0.0
-0.9,10,3,35417,1,100,100.0,0.0
-0.9,10,4,50332,1,100,100.0,0.0
-0.9,10,5,52534,1,100,100.0,0.0
-0.9,10,6,17823,1,100,100.0,0.0
-0.9,10,7,38612,1,100,100.0,0.0
-0.9,10,8,34440,1,100,100.0,0.0
-0.9,10,9,28791,1,100,100.0,0.0
-0.9,10,10,49878,1,100,100.0,0.0
-0.9,10,11,61775,1,100,100.0,0.0
-0.9,10,12,29150,2,99,99.0,0.016666666666666666
-0.9,10,13,20729,1,100,100.0,0.0
-0.9,10,14,51503,1,100,100.0,0.0
-0.9,10,15,22433,1,100,100.0,0.0
-0.9,10,16,21078,1,100,100.0,0.0
-0.9,10,17,75328,1,100,100.0,0.0
-0.9,10,18,20630,1,100,100.0,0.0
-0.9,10,19,54094,1,100,100.0,0.0
-0.9,10,20,36724,1,100,100.0,0.0
-0.9,10,21,41486,1,100,100.0,0.0
-0.9,10,22,41403,1,100,100.0,0.0
-0.9,10,23,37579,1,100,100.0,0.0
-0.9,10,24,42777,2,99,99.0,0.016666666666666666
-0.9,10,25,40707,1,100,100.0,0.0
-0.9,10,26,27359,1,100,100.0,0.0
-0.9,10,27,28207,1,100,100.0,0.0
-0.9,10,28,32926,1,100,100.0,0.0
-0.9,10,29,33598,1,100,100.0,0.0
-0.9,10,30,60370,1,100,100.0,0.0
-0.9,10,31,68987,1,100,100.0,0.0
-0.9,10,32,34436,1,100,100.0,0.0
-0.9,10,33,31610,1,100,100.0,0.0
-0.9,10,34,81630,1,100,100.0,0.0
-0.9,10,35,18925,1,100,100.0,0.0
-0.9,10,36,30042,2,99,99.0,0.022222222222222223
-0.9,10,37,74601,1,100,100.0,0.0
-0.9,10,38,24509,1,100,100.0,0.0
-0.9,10,39,37889,1,100,100.0,0.0
-0.9,10,40,27383,1,100,100.0,0.0
-0.9,10,41,53466,1,100,100.0,0.0
-0.9,10,42,50645,1,100,100.0,0.0
-0.9,10,43,20296,1,100,100.0,0.0
-0.9,10,44,51160,1,100,100.0,0.0
-0.9,10,45,102724,1,100,100.0,0.0
-0.9,10,46,36996,1,100,100.0,0.0
-0.9,10,47,22607,1,100,100.0,0.0
-0.9,10,48,65184,1,100,100.0,0.0
-0.9,10,49,41628,1,100,100.0,0.0
-0.9,10,50,30721,2,99,99.0,0.016666666666666666
-0.9,10,51,80971,1,100,100.0,0.0
-0.9,10,52,18209,1,100,100.0,0.0
-0.9,10,53,21244,1,100,100.0,0.0
-0.9,10,54,42090,1,100,100.0,0.0
-0.9,10,55,65495,1,100,100.0,0.0
-0.9,10,56,25233,1,100,100.0,0.0
-0.9,10,57,36961,1,100,100.0,0.0
-0.9,10,58,28971,1,100,100.0,0.0
-0.9,10,59,45123,1,100,100.0,0.0
-0.9,10,60,28647,1,100,100.0,0.0
-0.9,10,61,23195,2,99,99.0,0.011111111111111112
-0.9,10,62,21220,1,100,100.0,0.0
-0.9,10,63,17394,1,100,100.0,0.0
-0.9,10,64,23841,1,100,100.0,0.0
-0.9,10,65,36839,1,100,100.0,0.0
-0.9,10,66,55280,1,100,100.0,0.0
-0.9,10,67,24974,1,100,100.0,0.0
-0.9,10,68,26679,1,100,100.0,0.0
-0.9,10,69,33335,1,100,100.0,0.0
-0.9,10,70,67026,1,100,100.0,0.0
-0.9,10,71,34235,1,100,100.0,0.0
-0.9,10,72,33872,1,100,100.0,0.0
-0.9,10,73,25645,1,100,100.0,0.0
-0.9,10,74,25177,1,100,100.0,0.0
-0.9,10,75,39528,1,100,100.0,0.0
-0.9,10,76,27814,1,100,100.0,0.0
-0.9,10,77,28350,1,100,100.0,0.0
-0.9,10,78,22318,1,100,100.0,0.0
-0.9,10,79,37004,1,100,100.0,0.0
-0.9,10,80,41276,1,100,100.0,0.0
-0.9,10,81,17527,1,100,100.0,0.0
-0.9,10,82,75627,1,100,100.0,0.0
-0.9,10,83,25564,1,100,100.0,0.0
-0.9,10,84,16692,1,100,100.0,0.0
-0.9,10,85,19661,1,100,100.0,0.0
-0.9,10,86,17668,1,100,100.0,0.0
-0.9,10,87,35712,1,100,100.0,0.0
-0.9,10,88,13724,1,100,100.0,0.0
-0.9,10,89,27413,1,100,100.0,0.0
-0.9,10,90,31702,1,100,100.0,0.0
-0.9,10,91,38286,1,100,100.0,0.0
-0.9,10,92,32524,1,100,100.0,0.0
-0.9,10,93,38015,1,100,100.0,0.0
-0.9,10,94,26765,1,100,100.0,0.0
-0.9,10,95,40108,1,100,100.0,0.0
-0.9,10,96,35281,1,100,100.0,0.0
-0.9,10,97,38479,1,100,100.0,0.0
-0.9,10,98,32237,1,100,100.0,0.0
-0.9,10,99,68629,1,100,100.0,0.0
-0.9,10,100,37757,1,100,100.0,0.0
-0.9,10,101,19852,1,100,100.0,0.0
-0.9,10,102,21944,1,100,100.0,0.0
-0.9,10,103,44965,1,100,100.0,0.0
